Output File                                                               Name                                                  Type        FSH File                             Lines
Bundle-BatchFormulaBundle.json                                            BatchFormulaBundle                                    Instance    examples\BatchFormulaExample.fsh     1 - 77
Bundle-BatchFormulaBundle2Layer.json                                      BatchFormulaBundle2Layer                              Instance    examples\BatchFormula2Layer.fsh      280 - 354
Bundle-CharacterisationBundle.json                                        CharacterisationBundle                                Instance    examples\ex-32S3.fsh                 31 - 50
Bundle-CharacterisationImpuritiesBundle.json                              CharacterisationImpuritiesBundle                      Instance    examples\32p55-2.fsh                 1 - 37
Bundle-CharacterisationImpuritiesProductBundle.json                       CharacterisationImpuritiesProductBundle               Instance    examples\eg-32P55.fsh                80 - 97
Bundle-ControlMaterialsBundle.json                                        ControlMaterialsBundle                                Instance    examples\materials1.fsh              565 - 596
Bundle-DescriptionCompositionBundle.json                                  DescriptionCompositionBundle                          Instance    examples\Example1Drug.fsh            321 - 363
Bundle-GeneralInformationBundle.json                                      GeneralInformationBundle                              Instance    examples\levoThyroxine.fsh           143 - 178
Bundle-SpecificationExcipientBundle.json                                  SpecificationExcipientBundle                          Instance    examples\CochinealSpecification.fsh  226 - 240
Bundle-SpecificationProductBundle.json                                    SpecificationProductBundle                            Instance    examples\ExampleSpecification.fsh    424 - 439
Bundle-SpecificationSubstanceBundle.json                                  SpecificationSubstanceBundle                          Instance    examples\ExampleSpecification2.fsh   135 - 154
CodeSystem-cmc-hierarchy-supplement.json                                  NCItHierarchySupplement                               CodeSystem  HierarchySupplement.fsh              6 - 140
DocumentReference-de75e338-626c-4503-a25d-4fcdd8e39bee.json               de75e338-626c-4503-a25d-4fcdd8e39bee                  Instance    examples\32p55-2.fsh                 250 - 260
StructureDefinition-ContainerClosure.json                                 ContainerClosure                                      Profile     DrugProductResources.fsh             37 - 73
StructureDefinition-cmc-document-reference.json                           Base64DocumentReference                               Profile     UtilityProfiles.fsh                  63 - 72
StructureDefinition-cmc-ectd-document-32p10.json                          CMCeCTDDocument32P10                                  Profile     eCTDComposition.fsh                  1 - 39
StructureDefinition-cmc-ectd-document-32p32.json                          CMCeCTDDocument32P32                                  Profile     eCTDComposition.fsh                  190 - 223
StructureDefinition-cmc-ectd-document-32p55.json                          CMCeCTDDocument32P55                                  Profile     eCTDComposition.fsh                  225 - 255
StructureDefinition-cmc-ectd-document-32s10.json                          CMCeCTDDocument32S10                                  Profile     eCTDComposition.fsh                  44 - 79
StructureDefinition-cmc-ectd-document-32s23.json                          CMCeCTDDocument32S23                                  Profile     eCTDComposition.fsh                  81 - 115
StructureDefinition-cmc-ectd-document-32s3.json                           CMCeCTDDocument32S3                                   Profile     eCTDComposition.fsh                  156 - 187
StructureDefinition-cmc-ectd-document-sp4151.json                         CMCeCTDDocumentSP4151                                 Profile     eCTDComposition.fsh                  117 - 149
StructureDefinition-cmc-organization.json                                 CodedOrganization                                     Profile     CommonOrganization.fsh               17 - 26
StructureDefinition-codeable-concept-text-only.json                       CodeableConceptTextOnly                               Profile     UtilityProfiles.fsh                  116 - 122
StructureDefinition-ectd-composition-32p10.json                           EctdComposition32P10                                  Profile     eCTDComposition.fsh                  283 - 320
StructureDefinition-ectd-composition-32p32.json                           EctdComposition32P32                                  Profile     eCTDComposition.fsh                  372 - 403
StructureDefinition-ectd-composition-32p55.json                           EctdComposition32P55                                  Profile     eCTDComposition.fsh                  406 - 437
StructureDefinition-ectd-composition-32s10.json                           EctdComposition32S10                                  Profile     eCTDComposition.fsh                  322 - 343
StructureDefinition-ectd-composition-32s23.json                           EctdComposition32S23                                  Profile     eCTDComposition.fsh                  345 - 369
StructureDefinition-ectd-composition-32s3.json                            EctdComposition32S3                                   Profile     eCTDComposition.fsh                  439 - 468
StructureDefinition-ectd-composition-sp4151.json                          EctdCompositionSP4151                                 Profile     eCTDComposition.fsh                  259 - 280
StructureDefinition-literal-codeable-reference.json                       LiteralCodeableReference                              Profile     UtilityProfiles.fsh                  91 - 98
StructureDefinition-literal-reference.json                                LiteralReference                                      Profile     UtilityProfiles.fsh                  108 - 114
StructureDefinition-pq-additional-info-extension.json                     AditionalInformationExtension                         Extension   UtilityProfiles.fsh                  75 - 88
StructureDefinition-pq-amount-ratio.json                                  AmountRatio                                           Extension   DrugProductResources.fsh             75 - 96
StructureDefinition-pq-cmc-address.json                                   PqAddress                                             Profile     CommonOrganization.fsh               76 - 89
StructureDefinition-pq-hierarchical-level-extension.json                  HierarchicalLevelExtension                            Extension   qualitySpecification.fsh             15 - 25
StructureDefinition-pq-overage-extension.json                             OverageExtension                                      Extension   DrugProductResources.fsh             676 - 696
StructureDefinition-pq-product-batch-strength-textual-extension.json      ProductBatchStrengthTextualExtension                  Extension   DrugProductResources.fsh             698 - 708
StructureDefinition-pq-specification-status-extension.json                SpecificationStatusExtension                          Extension   qualitySpecification.fsh             1 - 13
StructureDefinition-pq-target-range.json                                  TargetRange                                           Extension   qualitySpecification.fsh             27 - 49
StructureDefinition-pqcmc-analytical-intstrument-data.json                AnalyticalInstrumentData                              Profile     UtilityProfiles.fsh                  31 - 37
StructureDefinition-pqcmc-attachment.json                                 PqcmcAttachment                                       Profile     UtilityProfiles.fsh                  1 - 11
StructureDefinition-pqcmc-batch-formula-product.json                      BatchFormulaMedicinalProduct                          Profile     DrugProductResources.fsh             866 - 886
StructureDefinition-pqcmc-component-substance.json                        ComponentSubstance                                    Profile     DrugSubstanceResources.fsh           44 - 107
StructureDefinition-pqcmc-component.json                                  DrugProductComponent                                  Profile     DrugSubstanceResources.fsh           109 - 205
StructureDefinition-pqcmc-dp-ingredient.json                              DrugProductIngredient                                 Profile     DrugSubstanceResources.fsh           725 - 757
